line 17:     "question": "Has the silver car turning onto the road already passed the nearby streetlight?",
line 212:     "question": "If the red motorcycle is moving at 5 m/s, how long will it take to reach the photographer?",
line 225:     "question": "If the red motorcycle overtakes the blue one in 3 s, and the blue motorcycle moves at 50 km/h, what's the red one's speed?",
line 290:     "question": "How long does it take for the front of the silver train to pass the photographer at 5 m/s?",
line 303:     "question": "If the white train catches up with the silver train in 2 s, what is its speed?",
line 316:     "question": "How long will it take for the man in the red helmet to reach the photographer at 5 m/s?",
line 329:     "question": "If the man in the white helmet reaches the red circle on his right in 4 s, what's his speed?",
line 420:     "question": "If the man in the red hat walks toward the photographer at 3 m/s, how long will it take him to arrive?",
line 446:     "question": "Is the gap to the left of the brown teddy bear wide enough to place a bowl with a 10 cm diameter?",
line 459:     "question": "What speed must the photographer reach out at to touch the white teddy bear in 4 s?",
line 654:     "question": "How long will it take for the black motorcycle to reach the bush that is closest to it at a speed of 1.5 m/s?",
line 706:     "question": "If the woman wearing a red hat walks toward the nearest tree directly in front of her at a speed of 2 m/s, how long will it take her to reach it?",
line 719:     "question": "If the girl in the red dress crawls to the photographer in 8 s, what is her speed?",
line 784:     "question": "If the big black bear runs toward you at 3 m/s, how long will it take to reach you?",
line 927:     "question": "Is the space between the two women in pink enough for the woman with gray hair to sit?",
line 940:     "question": "If you're the one taking the picture and the woman in purple pants walks to you at 0.5 m/s, how long will it take?",
line 1044:     "question": "If a puppy runs from the power strip to the boy with white socks in 3 s, what is its average speed?",
line 1057:     "question": "Is the space between the white-haired man on the left and the man in the dark blue T-shirt wide enough for the man in light blue to turn left and walk through?",
line 1096:     "question": "Is the gap between the closest person and the person in the orange hat with arms outstretched wide enough for the person in the purple hat on the right to run through?",
line 1122:     "question": "If the man next to the red car walks to the crash site at 0.5 m/s, how long will it take?",
line 1148:     "question": "If the man with the tennis racket runs to the green pole behind him at 2 m/s, how long will it take?",
line 1161:     "question": "Is the space behind the elephant's rear-left side wide enough to walk over and play with the boy in yellow?",
line 1265:     "question": "If the woman in the red dress walks to the front of the bus at 1 m/s, how long will it take?",
line 1304:     "question": "If the woman in red pants is walking at 1 m/s, how long will it take her to walk down the stairs?",
line 1330:     "question": "If a boat sails from the wooden post nearest to the camera to the opposite shore with the red house at 5 m/s, how long will it take?",
line 1369:     "question": "If the man in the orange coat took 20 s to walk to the larger police car, what was his speed?",
